title,artist,popularity,album_name,album_release,genre,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Circles,Post Malone,98,Hollywood's Bleeding,2019-09-06,pop,0.695,0.762,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280
Ayy Macarena,Tyga,91,Ayy Macarena,2019-11-13,pop,0.816,0.63,-5.568,1,0.226,0.133,0,0.0692,0.715,96.493,131607
I Don't Care (with Justin Bieber),Ed Sheeran,90,I Don't Care (with Justin Bieber),2019-05-10,pop,0.798,0.675,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,219947
Goodbyes (feat. Young Thug),Post Malone,90,Hollywood's Bleeding,2019-09-06,latin,0.548,0.653,-3.875,1,0.081,0.456,0,0.103,0.163,150.068,174853
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,88,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,pop,0.76,0.479,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,158040
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,87,Hollywood's Bleeding,2019-09-06,pop,0.755,0.522,-4.368,1,0.0575,0.533,0,0.0685,0.925,89.96,157560
"thank u, next",Ariana Grande,87,"thank u, next",2019-02-08,pop,0.717,0.653,-5.634,1,0.0658,0.229,0,0.101,0.412,106.966,207320
Better Now,Post Malone,87,beerbongs & bentleys,2018-04-27,pop,0.68,0.578,-5.804,1,0.04,0.331,0,0.135,0.341,145.038,231267
You Need To Calm Down,Taylor Swift,86,Lover,2019-08-23,pop,0.771,0.671,-5.617,1,0.0553,0.00929,0,0.0637,0.714,85.026,171360
Perfect,Ed Sheeran,86,÷ (Deluxe),2017-03-03,latin,0.599,0.448,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,263400
Closer (feat. Halsey),The Chainsmokers,85,Closer (feat. Halsey),2016-07-29,pop,0.748,0.524,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,244960
Family,The Chainsmokers,85,World War Joy,2019-12-06,pop,0.584,0.607,-6.605,1,0.0356,0.426,0,0.101,0.374,117.817,194827
Lover (Remix) [feat. Shawn Mendes],Taylor Swift,85,Lover (Remix) [feat. Shawn Mendes],2019-11-13,pop,0.448,0.603,-7.176,1,0.064,0.433,0,0.0862,0.422,205.272,221307
Takeaway,The Chainsmokers,85,World War Joy,2019-12-06,pop,0.528,0.511,-8.144,1,0.0324,0.126,0,0.101,0.351,100.1,209880
Mean It,Lauv,85,~how i'm feeling~,2019-11-14,pop,0.746,0.45,-8.543,1,0.0872,0.0407,0,0.172,0.336,95.998,232853
Fantasía,Ozuna,85,Nibiru,2019-11-29,latin,0.695,0.719,-5.938,1,0.0903,0.227,1.71e-4,0.0884,0.781,180.074,175187
Wake Me Up,Avicii,84,True,2013-01-01,pop,0.532,0.783,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427
I Don't Care (with Justin Bieber),Ed Sheeran,84,No.6 Collaborations Project,2019-07-12,pop,0.798,0.675,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,219947
"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,84,"fuck, i'm lonely (with Anne-Marie) (from “13 Reasons Why: Season 3”)",2019-08-02,pop,0.806,0.558,-6.46,1,0.0683,0.482,0,0.0618,0.678,95.016,198973
Photograph,Ed Sheeran,84,x (Deluxe Edition),2014-06-21,pop,0.614,0.379,-10.48,1,0.0476,0.607,4.64e-4,0.0986,0.201,107.989,258987
Congratulations,Post Malone,84,Stoney (Deluxe),2016-12-09,pop,0.63,0.804,-4.183,1,0.0363,0.215,0,0.253,0.492,123.146,220293
Used To Love (with Dean Lewis),Martin Garrix,83,Used To Love (with Dean Lewis),2019-10-31,pop,0.651,0.693,-4.722,1,0.0375,0.458,0,0.335,0.392,118.97,236765
I Like Me Better,Lauv,83,I Like Me Better,2017-05-19,pop,0.752,0.505,-7.621,1,0.253,0.535,2.55e-6,0.104,0.419,91.97,197437
i'm so tired...,Lauv,83,i'm so tired...,2019-01-24,pop,0.599,0.733,-7.058,1,0.203,0.176,0,0.242,0.534,102.211,162583
One Dance,Drake,83,Views,2016-05-06,pop,0.792,0.625,-5.609,1,0.0536,0.00776,0.00188,0.329,0.37,103.967,173987
In My Feelings,Drake,83,Scorpion,2018-06-29,pop,0.835,0.626,-5.833,1,0.125,0.0589,6e-5,0.396,0.35,91.03,217925
The Scientist,Coldplay,83,A Rush of Blood to the Head,2002-08-08,pop,0.56,0.442,-7.224,1,0.0243,0.727,1.71e-5,0.11,0.212,146.448,309600
Thinking out Loud,Ed Sheeran,83,x (Deluxe Edition),2014-06-21,latin,0.781,0.445,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,281560
Psycho (feat. Ty Dolla $ign),Post Malone,83,beerbongs & bentleys,2018-04-27,r&b,0.75,0.56,-8.094,1,0.105,0.546,0,0.111,0.459,140.06,221440
Sweet Child O' Mine,Guns N' Roses,82,Appetite For Destruction,1987-01-01,pop,0.454,0.91,-7.766,1,0.0446,0.0852,0.0988,0.116,0.63,125.116,354520
Taste (feat. Offset),Tyga,82,Taste (feat. Offset),2018-05-16,latin,0.884,0.559,-7.442,1,0.12,0.0236,0,0.101,0.342,97.994,232959
Nonstop,Drake,82,Scorpion,2018-06-29,latin,0.912,0.412,-8.074,1,0.124,0.0164,0.013,0.104,0.422,154.983,238614
Without You (feat. Sandro Cavazza),Avicii,81,AVĪCI (01),2017-08-10,pop,0.662,0.858,-4.844,1,0.0428,0.00163,0,0.0456,0.295,133.993,181673
Don't Let Me Down,The Chainsmokers,81,Don't Let Me Down,2016-02-05,pop,0.532,0.869,-5.094,1,0.172,0.157,0.00508,0.136,0.422,159.803,208373
Feelings,Lauv,81,Feelings,2019-09-19,pop,0.694,0.466,-6.758,1,0.0384,0.0934,0,0.098,0.246,103.018,189613
Yellow,Coldplay,81,Parachutes,2000-07-10,pop,0.429,0.661,-7.227,1,0.0281,0.00239,1.3e-4,0.234,0.285,173.365,266773
Fix You,Coldplay,81,X&Y,2005-06-07,pop,0.209,0.418,-8.74,1,0.0338,0.163,0.00195,0.113,0.123,138.265,295533
Under Pressure - Remastered,Queen,81,Hot Space (2011 Remaster),1982-05-03,rock,0.671,0.712,-7.815,1,0.0476,0.429,0,0.103,0.462,113.805,248440
Heaven,Avicii,80,TIM,2019-06-06,pop,0.592,0.873,-5.65,1,0.0275,0.0715,0.00982,0.142,0.516,122.011,277262
The Nights,Avicii,80,The Days / Nights,2014-01-01,pop,0.527,0.835,-5.298,1,0.0433,0.0166,0,0.249,0.654,125.983,176658
God is a woman,Ariana Grande,80,Sweetener,2018-08-17,pop,0.602,0.658,-5.934,1,0.0558,0.0233,6e-5,0.237,0.268,145.031,197547
Galway Girl,Ed Sheeran,80,÷ (Deluxe),2017-03-03,pop,0.624,0.876,-3.374,1,0.1,0.0735,0,0.327,0.781,99.943,170827
Baila Baila Baila - Remix,Ozuna,80,"Baila Baila Baila (Remix) [feat. Farruko, Anuel Aa]",2019-04-25,latin,0.785,0.572,-7.504,1,0.123,0.0598,0,0.218,0.49,100.016,235284
One Last Time,Ariana Grande,79,My Everything (Deluxe),2014-08-25,pop,0.628,0.593,-5.036,1,0.0323,0.093,1.65e-6,0.096,0.104,125.026,197267
I Like Me Better,Lauv,79,I met you when I was 18. (the playlist),2018-05-31,pop,0.752,0.505,-7.621,1,0.253,0.535,2.55e-6,0.104,0.419,91.97,197437
There's No Way (feat. Julia Michaels),Lauv,79,There's No Way (feat. Julia Michaels),2018-09-27,pop,0.755,0.625,-7.114,1,0.0896,0.49,0,0.157,0.374,147.02,174861
We Will Rock You - Remastered,Queen,79,News Of The World (2011 Remaster),1977-10-28,rock,0.692,0.497,-7.316,1,0.119,0.676,0,0.259,0.475,81.308,122067
Dreams - 2004 Remaster,Fleetwood Mac,79,Rumours (Super Deluxe),1977-02-04,rock,0.828,0.492,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,257800
Vaina Loca,Ozuna,79,Aura,2018-08-24,latin,0.754,0.805,-4.249,1,0.0752,0.315,0,0.203,0.555,93.982,176133
Changes,Lauv,79,~how i'm feeling~,2020-01-02,r&b,0.532,0.455,-8.366,1,0.156,0.452,0,0.237,0.204,148.182,160187
I Forgot That You Existed,Taylor Swift,79,Lover,2019-08-23,r&b,0.664,0.316,-10.345,1,0.519,0.298,2.03e-6,0.0812,0.541,92.875,170640
Into You,Ariana Grande,79,Dangerous Woman,2016-05-20,edm,0.623,0.734,-5.95,1,0.107,0.0162,1.9e-6,0.145,0.372,107.853,244453
A Sky Full of Stars,Coldplay,78,Ghost Stories,2014-05-19,pop,0.551,0.636,-7.125,1,0.0281,0.00713,0.00203,0.217,0.153,124.996,268467
Blank Space,Taylor Swift,78,1989 (Deluxe),2014-01-01,pop,0.76,0.703,-5.412,1,0.054,0.103,0,0.0913,0.57,95.997,231827
breathin,Ariana Grande,78,Sweetener,2018-08-17,pop,0.568,0.656,-5.413,1,0.0433,0.0211,1.37e-5,0.213,0.364,100.049,198160
Welcome To The Jungle,Guns N' Roses,78,Appetite For Destruction,1987-01-01,pop,0.446,0.954,-8.069,1,0.0764,0.0232,0.395,0.297,0.332,123.45,272027
Stay,Post Malone,78,beerbongs & bentleys,2018-04-27,pop,0.507,0.48,-5.418,1,0.0266,0.449,0,0.147,0.35,86.046,204427
Paradise City,Guns N' Roses,78,Appetite For Destruction,1987-01-01,rock,0.273,0.952,-8.762,1,0.0841,0.0169,0.0112,0.142,0.475,100.269,405640
Dream On,Aerosmith,78,Aerosmith,1973-01-05,rock,0.307,0.433,-10.057,1,0.029,0.388,9.08e-5,0.332,0.224,160.9,266960
The Chain - 2004 Remaster,Fleetwood Mac,78,Rumours (Super Deluxe),1977-02-04,rock,0.545,0.67,-8.81,1,0.0496,0.009,8.22e-4,0.0451,0.481,151.553,270213
Paradise,Coldplay,77,Mylo Xyloto,2011-10-24,pop,0.449,0.585,-6.762,1,0.0268,0.0522,8.49e-5,0.0833,0.203,139.627,278719
Everyday,Logic,77,Bobby Tarantino II,2018-03-09,pop,0.667,0.741,-4.099,1,0.0378,0.0425,0,0.0761,0.422,149.908,204747
Behind Barz - Bonus,Drake,77,Top Boy (A Selection of Music Inspired by the Series),2019-09-13,rap,0.854,0.554,-4.684,1,0.172,0.769,1.84e-6,0.0749,0.272,142.069,163121
Ambitionz Az A Ridah,2Pac,77,All Eyez On Me,1996-02-13,rap,0.801,0.908,-6.554,1,0.221,0.00253,6.55e-4,0.0698,0.805,87.279,278387
Knockin' On Heaven's Door,Guns N' Roses,77,Use Your Illusion II,1991-09-17,rock,0.496,0.739,-7.193,1,0.0415,0.0211,0.00444,0.106,0.378,132.41,336000
Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,77,Perfect Duet (Ed Sheeran & Beyoncé),2017-11-30,r&b,0.587,0.299,-7.365,1,0.0263,0.779,0,0.123,0.356,94.992,259550
Hotline Bling,Drake,77,Views,2016-05-06,edm,0.891,0.625,-7.861,1,0.0558,0.00261,1.76e-4,0.0504,0.548,134.967,267067
No Sleep (feat. Bonn),Martin Garrix,76,No Sleep (feat. Bonn),2019-02-21,pop,0.44,0.635,-6.385,1,0.0326,0.129,0,0.121,0.327,128.133,207095
NASA,Ariana Grande,76,"thank u, next",2019-02-08,pop,0.747,0.458,-6.891,1,0.303,0.451,0,0.252,0.47,75.029,182000
imagine,Ariana Grande,76,"thank u, next",2019-02-08,pop,0.729,0.475,-4.985,1,0.0364,0.378,0,0.12,0.371,62.52,212267
We Are The Champions - Remastered 2011,Queen,76,News Of The World (2011 Remaster),1977-10-28,rock,0.268,0.459,-6.94,1,0.0346,0.378,0,0.118,0.175,64.177,179200
Paris,The Chainsmokers,75,Paris,2017-01-13,pop,0.646,0.644,-6.763,1,0.031,0.0243,0,0.0888,0.251,99.999,221520
Danza Kuduro,Don Omar,75,Meet The Orphans,2010-01-01,pop,0.4,0.915,-4.89,1,0.28,0.0846,0,0.0503,0.878,88.917,198773
Jumpman,Drake,75,What A Time To Be Alive,2015-09-20,rap,0.852,0.553,-7.286,1,0.187,0.0563,0,0.332,0.656,142.072,205879
All Eyez On Me,2Pac,75,All Eyez On Me,1996-02-13,rap,0.873,0.719,-5.948,1,0.248,0.03,0,0.333,0.858,93.281,307773
Paris,$uicideBoy$,75,Now The Moon's Rising,2015-11-20,rap,0.849,0.648,-6.188,1,0.0832,0.0725,0.00592,0.0984,0.196,106.075,111020
Patek,Ozuna,75,Nibiru,2019-11-29,rap,0.839,0.554,-6.124,1,0.181,0.418,0,0.0923,0.727,139.952,249733
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Aerosmith,75,Armageddon - The Album,1998-06-23,rock,0.383,0.662,-5.162,1,0.0333,0.165,0,0.248,0.138,121.154,298760
Heroes - 2017 Remaster,David Bowie,75,"""Heroes"" (2017 Remastered Version)",1977,rock,0.49,0.758,-6.491,1,0.0297,6.71e-4,0.484,0.092,0.435,112.114,371413
Se Preparó,Ozuna,75,Odisea,2017-08-25,latin,0.739,0.821,-4.233,1,0.0852,0.222,9.6e-6,0.311,0.693,171.077,188080
Adventure of a Lifetime,Coldplay,74,A Head Full of Dreams,2015-12-04,pop,0.638,0.924,-3.887,1,0.0359,0.00205,1.73e-4,0.149,0.529,111.995,263787
We Are Never Ever Getting Back Together,Taylor Swift,74,Red (Big Machine Radio Release Special),2012-10-21,pop,0.628,0.676,-5.911,1,0.0916,0.00957,2.65e-5,0.121,0.75,85.984,193147
Behind Barz - Bonus,Drake,74,Behind Barz (Bonus),2019-09-13,rap,0.854,0.554,-4.684,1,0.172,0.769,1.84e-6,0.0749,0.272,142.069,163121
Portland,Drake,74,More Life,2017-03-18,rap,0.925,0.443,-8.216,1,0.264,0.0172,0,0.276,0.35,136.078,236615
El Farsante - Remix,Ozuna,74,El Farsante (Remix),2018-01-30,rap,0.737,0.742,-2.875,1,0.0441,0.218,0,0.316,0.386,119.966,258000
Crazy Little Thing Called Love - Remastered 2011,Queen,74,The Game (2011 Remaster),1980-06-27,rock,0.599,0.761,-6.887,1,0.0421,0.713,4.74e-6,0.349,0.712,77.015,163373
Go Your Own Way - 2004 Remaster,Fleetwood Mac,74,Rumours,1977-02-04,rock,0.583,0.947,-5.12,1,0.0378,0.0185,0.00109,0.0679,0.803,135.448,223613
"I Don't Want to Miss a Thing - From the Touchstone film, ""Armageddon""",Aerosmith,74,I Don't Want To Miss A Thing,1998-08-18,rock,0.39,0.649,-5.163,1,0.0345,0.172,0,0.216,0.144,121.16,299760
Don't Cry (Original),Guns N' Roses,74,Use Your Illusion I,1991-01-01,rock,0.456,0.59,-8.638,1,0.0327,0.00182,0.00379,0.104,0.243,124.635,283733
Rebel Rebel - 2016 Remaster,David Bowie,74,Diamond Dogs (2016 Remastered Version),1974-05-24,rock,0.635,0.686,-15.648,1,0.053,0.209,0.0176,0.282,0.464,125.988,274747
Best Part of Me (feat. YEBBA),Ed Sheeran,74,Best Part of Me (feat. YEBBA),2019-07-05,r&b,0.565,0.242,-8.367,1,0.0318,0.762,9.3e-6,0.285,0.237,81.657,243267
Roses,The Chainsmokers,73,Roses,2015-06-16,pop,0.713,0.802,-7.055,1,0.0561,0.0435,0.00377,0.309,0.343,100.001,226739
ghostin,Ariana Grande,73,"thank u, next",2019-02-08,pop,0.287,0.364,-8.295,1,0.0306,0.418,1.8e-5,0.185,0.11,103.777,271467
Lonely Together (feat. Rita Ora),Avicii,73,AVĪCI (01),2017-08-10,pop,0.655,0.666,-5.309,1,0.0612,0.134,2.12e-5,0.0683,0.272,102.977,181812
SWISH,Tyga,73,SWISH,2018-07-25,rap,0.884,0.541,-5.608,1,0.221,0.0831,0,0.118,0.274,105.009,194936
The Motto,Drake,73,Take Care (Deluxe),2011-11-15,rap,0.766,0.442,-8.558,1,0.356,1.07e-4,6.12e-5,0.111,0.39,201.8,181573
2nd Hand,$uicideBoy$,73,KILL YOURSELF Part XII: The Dark Glacier Saga,2017-05-23,rap,0.935,0.429,-6.697,1,0.118,0.0308,0,0.102,0.0769,139.987,123481
Go Your Own Way - 2004 Remaster,Fleetwood Mac,73,Rumours (Super Deluxe),1977-02-04,rock,0.586,0.941,-5.139,1,0.0375,0.0167,7.76e-4,0.068,0.831,135.448,223613
Sweet Emotion,Aerosmith,73,Toys In The Attic,1975-04-08,rock,0.38,0.76,-10.961,1,0.0378,0.00298,0.0294,0.104,0.491,99.437,274133
Muito Calor,Ozuna,73,Muito Calor,2019-07-11,latin,0.814,0.863,-2.885,1,0.0589,0.116,2.26e-4,0.0736,0.597,98.048,185147
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,73,No.6 Collaborations Project,2019-07-12,r&b,0.746,0.787,-6.373,1,0.12,0.214,0,0.0669,0.607,95.005,206187
MONOPOLY (with Victoria Monét),Ariana Grande,72,MONOPOLY,2019-04-01,pop,0.892,0.507,-8.282,1,0.378,0.704,3.14e-5,0.109,0.695,143.96,158587
Changes,2Pac,72,The Best of 2Pac - Pt. 1: Thug,2007-01-01,rap,0.865,0.657,-6.722,1,0.076,0.0404,0,0.14,0.316,111.115,268960
Eres Top,Ozuna,72,Nibiru,2019-11-29,rap,0.823,0.622,-5.706,1,0.0491,0.0105,2.69e-6,0.0453,0.602,100.022,204853
Walk This Way,Aerosmith,72,Toys In The Attic,1975-04-08,rock,0.653,0.73,-10.613,1,0.043,0.0114,1.03e-5,0.0754,0.894,108.705,220400
Dile Que Tu Me Quieres,Ozuna,72,Odisea,2017-08-25,latin,0.773,0.757,-4.959,1,0.0526,0.0864,3.73e-6,0.0727,0.858,88.006,226520
The Story Never Ends,Lauv,72,I met you when I was 18. (the playlist),2018-05-31,r&b,0.614,0.126,-9.403,1,0.0376,0.911,0,0.148,0.351,119.945,229029
These Are The Times (feat. JRM),Martin Garrix,71,These Are The Times (feat. JRM),2019-07-18,pop,0.687,0.707,-6.19,1,0.0328,0.0536,9.29e-5,0.16,0.607,127.033,188656
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,71,Listen,2014-11-21,pop,0.596,0.73,-4.091,1,0.151,0.24,0,0.325,0.525,85.979,192560
Tú Foto,Ozuna,71,Odisea,2017-08-25,latin,0.748,0.565,-5.895,1,0.0476,0.164,0.00169,0.103,0.812,175.92,193227
Fades Away - Tribute Concert Version,Avicii,71,Fades Away (feat. MishCatt) [Tribute Concert Version],2019-12-05,edm,0.595,0.549,-7.733,1,0.104,0.132,1.45e-5,0.0873,0.165,134.493,172559
"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,70,~how i'm feeling~,2019-11-14,pop,0.806,0.558,-6.46,1,0.0683,0.482,0,0.0618,0.678,95.016,198973
sweetener,Ariana Grande,70,Sweetener,2018-08-17,pop,0.721,0.459,-6.408,1,0.032,0.248,0,0.212,0.46,119.914,208493
All We Know,The Chainsmokers,70,All We Know,2016-09-29,pop,0.662,0.586,-8.821,1,0.0307,0.097,0.00272,0.115,0.296,90,194080
In My Place,Coldplay,70,A Rush of Blood to the Head,2002-08-08,pop,0.425,0.587,-5.453,1,0.0278,0.0565,5.16e-6,0.298,0.194,144.642,226680
OCD (with Dwn2earth),Logic,70,OCD (with Dwn2earth),2019-10-25,rap,0.66,0.76,-2.794,1,0.197,0.294,0.03,0.252,0.229,81.952,291707
Do For Love,2Pac,70,R U Still Down? [Remember Me],1997-01-01,rap,0.874,0.63,-3.585,1,0.298,0.0578,0.00479,0.0582,0.717,95,281600
Gyalchester,Drake,70,More Life,2017-03-18,rap,0.877,0.391,-8.196,1,0.063,0.0317,5.02e-4,0.0945,0.122,131.018,189230
We Will Rock You - Remastered,Queen,70,News Of The World (Deluxe Remastered Version),1977-10-28,rock,0.693,0.497,-7.316,1,0.119,0.679,0,0.258,0.473,81.308,122067
Haute (feat. J Balvin & Chris Brown),Tyga,70,Haute (feat. J Balvin & Chris Brown),2019-06-05,latin,0.946,0.723,-3.692,1,0.114,0.0778,0,0.0608,0.349,102.956,160877
Devuelveme,Ozuna,70,Aura,2018-08-24,latin,0.744,0.769,-4.112,1,0.156,0.554,6.96e-6,0.102,0.784,175.999,188907
Danza Kuduro,Don Omar,70,Meet The Orphans,2010-01-01,latin,0.699,0.917,-4.897,1,0.115,0.078,0,0.065,0.889,130.04,198787
Jungle,Drake,70,If You're Reading This It's Too Late,2015-02-12,r&b,0.69,0.235,-8.651,1,0.0541,0.618,1.44e-4,0.107,0.378,99.906,320400
Signs,Drake,70,Signs,2017-06-23,r&b,0.794,0.735,-4.204,1,0.054,0.108,0.00578,0.112,0.223,107.374,234373
Feelings,Lauv,69,~how i'm feeling~,2019-11-14,pop,0.694,0.466,-6.758,1,0.0384,0.0934,0,0.098,0.246,103.018,189613
Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,69,Nothing but the Beat (Ultimate Edition),2012-12-07,pop,0.666,0.876,-3.078,1,0.0414,0.055,0,0.259,0.552,129.884,194840
Everybody,Logic,69,Everybody,2017-05-05,rap,0.885,0.94,-5.908,1,0.0909,0.158,0,0.0675,0.77,110.005,162347
Girls Have Fun (feat. G-Eazy & Rich The Kid),Tyga,69,Girls Have Fun (feat. G-Eazy & Rich The Kid),2019-01-23,rap,0.888,0.74,-5.363,1,0.238,0.00586,0,0.218,0.664,100.003,175711
La Célula Que Explota,Caifanes,69,El Diablito,1990-06-19,rock,0.425,0.479,-12.22,1,0.0419,0.44,1.09e-4,0.378,0.279,123.217,215867
Somebody To Love - 2011 Mix,Queen,69,A Day At The Races (Deluxe Remastered Version),1976-12-10,rock,0.497,0.693,-7.024,1,0.0565,0.19,0,0.215,0.358,111.539,296493
Gypsy,Fleetwood Mac,69,Greatest Hits,1988-11-21,rock,0.622,0.54,-13.99,1,0.0261,0.017,0.00771,0.265,0.847,130.879,264907
Somebody To Love - 2011 Mix,Queen,69,Bohemian Rhapsody (The Original Soundtrack),2018-10-19,rock,0.466,0.698,-6.967,1,0.0629,0.164,0,0.127,0.349,109.772,295733
Luz Apaga,Ozuna,69,Luz Apaga,2018-11-16,latin,0.611,0.791,-3.558,1,0.173,0.19,3.02e-6,0.12,0.658,192.07,245000
No Sleep (feat. Bonn) - DubVision Remix,Martin Garrix,69,2019 Remixed,2019-12-31,edm,0.584,0.79,-6.128,1,0.0589,0.0455,0,0.213,0.291,127.972,239062
"Azukita (Steve Aoki, Daddy Yankee, Play-N-Skillz & Elvis Crespo) (feat. Elvis Crespo)",Steve Aoki,69,"Azukita (Steve Aoki, Daddy Yankee, Play-N-Skillz & Elvis Crespo) (feat. Elvis Crespo)",2018-02-02,edm,0.715,0.942,-2.889,1,0.107,0.00175,4.61e-4,0.0581,0.818,130.019,226162
